// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).


0,35050,2000
0,18878,30000
0,6224,40
0,6223,150
0,35049,2500
0,1230,1000
0,13017,10000
0,18519,7500
0,18518,7500
0,12412,5000
0,16682,5000
0,7776,1000
0,13710,9000
0,12202,100
0,12204,100
0,12205,100
0,12203,100
0,12207,100
0,12206,100
0,12114,10
0,12115,10
0,12116,10
0,12117,10
0,12884,2000
0,12885,2000
0,12886,2000
0,12887,2000
0,5013,60000
0,2629,50000
0,2410,50000
0,1530,50000
0,2630,50000
0,35044,50000
0,13698,300
0,13697,300
0,657,3
0,656,3
0,645,3
0,985,1
0,984,1
0,12221,50
0,14175,450
0,14587,25
0,14519,25
0,14517,25
0,14518,25
0,14520,50
0,7619,100
0,7620,100
0,14545,225
0,13758,3000
0,13696,2000
0,12214,225
0,13582,1000
0,12210,225
0,13607,2000
0,7621,100

3,16682,5000
4,18878,30000
4,1230,1000
4,13017,10000
4,18519,7500
4,18518,7500
4,5013,60000
4,2629,50000
4,2410,50000
4,1530,50000
4,2630,50000
4,35044,50000
5,13698,300
5,13697,300
5,14587,25
5,14519,25
5,14517,25
5,14518,25
5,14520,50
6,12412,5000
6,35049,2500
6,657,3
6,656,3
6,645,3
6,12202,100
6,12204,100
6,12205,100
6,12203,100
6,12207,100
6,12206,100
6,12114,10
6,12115,10
6,12116,10
6,12117,10
6,12884,2000
6,12885,2000
6,12886,2000
6,12887,2000
6,12221,50
6,14175,450
6,14545,225
6,13758,3000
6,13696,2000
6,12214,225
6,13582,1000
6,12210,225
6,13607,2000
6,7621,100
7,6224,40
7,6223,150
7,7619,100
7,7620,100
7,985,1
7,984,1
7,7776,1000
7,13710,9000

